,name,population
2390,Mukilteo,21226
2391,Rancho San Diego,21208
2392,Charleston,21196
2393,Bedford,21188
2394,Carrboro,21156
2395,Crest Hill,21153
2396,Saint Andrews,21151
2397,Ashland,21108
2398,Hays,21092
2399,Ferguson,21059
2400,Conway,21053
2401,Laurelton,21053
2402,Lino Lakes,21050
2403,West Lake Stevens,21047
2404,New Hope,21032
2405,Palm River-Clair Mel,21024
2406,Trussville,21023
2407,Woodrow,21005
2408,Corinth,20998
2409,Mountlake Terrace,20989
2410,Chester,20987
2411,Nixa,20984
2412,East Ridge,20979
2413,Plainview,20919
2414,Agoura Hills,20915
2415,Grayslake,20915
2416,Acton,20897
2417,Sanford,20893
2418,Silver Firs,20891
2419,Hauppauge,20882
2420,Kīhei,20881
2421,South El Monte,20878
2422,Arvin,20876
2423,Johnston,20871
2424,Gardner,20868
2425,Lathrop,20866
2426,Ashland,20861
2427,Sidney,20858
2428,Birmingham,20857
2429,Sweetwater,20840
2430,Milwaukie,20830
2431,East Millcreek,20816
2432,Grand Island,20813
2433,Union City,20805
2434,Woodlawn,20804
2435,Piqua,20790
2436,Lomita,20785
2437,Cockeysville,20776
2438,Easley,20765
2439,New Springville,20756
2440,Pleasantville,20755
2441,Liberal,20746
2442,Palisades Park,20743
2443,Jenks,20740
2444,Latham,20736
2445,Simpsonville,20736
2446,Darien,20732
2447,Pleasant Prairie,20726
2448,Adrian,20691
2449,Mountain Brook,20691
2450,Chambersburg,20691
2451,West Melbourne,20679
2452,East Garfield Park,20656
2453,Rotterdam,20652
2454,Lakeside,20648
2455,Bethany,20646
2456,Lake Worth Corridor,20635
2457,Winter Gardens,20631
2458,Lockport,20624
2459,Lebanon,20623
2460,Wade Hampton,20622
2461,Murphy,20610
2462,Coralville,20608
2463,Ensley,20602
2464,Sapulpa,20579
2465,American Canyon,20554
2466,South San Jose Hills,20551
2467,Belton,20547
2468,Agoura,20537
2469,Bayville,20512
2470,Arbutus,20483
2471,Hammond,20480
2472,Libertyville,20436
2473,Pittsburg,20409
2474,Portsmouth,20409
2475,Granite Bay,20402
2476,Louisville,20396
2477,Northfield,20380
2478,Rocky River,20376
2479,Raymore,20374
2480,Middletown,20372
2481,Havelock,20364
2482,Harvey,20348
2483,Gardner,20333
2484,Golden,20330
2485,Douglas,20323
2486,Cartersville,20319
2487,Ashland,20317
2488,Oakleaf Plantation,20315
2489,Affton,20307
2490,Ramona,20292
2491,Cambria Heights,20287
2492,Elko,20279
2493,Elmwood Park,20279
2494,Hollis,20269
2495,Brooklyn Heights,20256
2496,Nogales,20252
2497,Parma Heights,20246
2498,La Cañada Flintridge,20246
2499,Rose Hill,20226
2500,Mustang,20226
2501,East Northport,20217
2502,Glen Avon,20199
2503,Sulphur,20189
2504,Shelby,20189
2505,Montville Center,20180
2506,Ferndale,20177
2507,South Saint Paul,20160
2508,Lynn Haven,20156
2509,Lents,20156
2510,Lake Ronkonkoma,20155
2511,Lexington,20138
2512,Murrysville,20134
2513,Cumberland,20130
2514,Stephenville,20120
2515,Oregon,20102
2516,Eastmont,20101
2517,Monroe,20092
2518,Coconut Grove,20076
2519,West Mifflin,20075
2520,Mill Creek,20043
2521,Pace,20039
2522,Miamisburg,20034
2523,Palm Valley,20019
2524,Rolla,20019
2525,Tukwila,20018
2526,DeBary,19998
2527,Lyndhurst,19996
2528,Germantown,19993
2529,Lake Zurich,19993
2530,Eustis,19986
2531,Universal City,19986
2532,Bryant,19986
2533,Newburg,19967
2534,Johnstown,19966
2535,Socastee,19952
2536,Ypsilanti,19945
2537,North Bellmore,19941
2538,King of Prussia,19936
2539,Hayesville,19936
2540,Cortlandt Manor,19929
2541,Warrensburg,19927
2542,Mokena,19923
2543,Norwood,19915
2544,Mariners Harbor,19905
2545,Bonney Lake,19903
2546,Dickinson,19895
2547,Clifton,19889
2548,Lealman,19879
2549,Hermosa Beach,19860
2550,Selden,19851
2551,Clemmons,19844
2552,West Chester,19842
2553,Evergreen Park,19841
2554,Southbury,19836
2555,Baldwin,19819
2556,Marblehead,19808
2557,Norton,19808
2558,Plattsburgh,19806
2559,North Salt Lake,19796
2560,Sand Springs,19783
2561,Painesville,19776
2562,Greenfield,19753
2563,Pickerington,19745
2564,New Canaan,19738
2565,Albany,19735
2566,Snellville,19733
2567,Sparta,19722
2568,Columbia Heights,19715
2569,Holtsville,19714
2570,Salmon Creek,19686
2571,La Crescenta-Montrose,19653
2572,Spanish Lake,19650
2573,Willmar,19638
2574,Tysons Corner,19627
2575,Forest Lake,19618
2576,Bethany,19589
2577,Sun City,19579
2578,Montclair,19570
2579,Lynbrook,19558
2580,Orchards,19556
2581,Eastchester,19554
2582,Payson,19548
2583,West Saint Paul,19540
2584,Madisonville,19539
2585,Ives Estates,19525
2586,Selma,19519
2587,Papillion,19510
2588,Montgomery,19489
2589,Badger,19482
2590,Seymour,19478
2591,Lake Shore,19477
2592,McKeesport,19453
2593,Pinecrest,19452
2594,Weirton Heights,19450
2595,Port Angeles,19448
2596,Hazel Dell,19435
2597,Angleton,19429
2598,Fernley,19418
2599,Lake Forest,19408
2600,Alice,19408
2601,Battle Ground,19407
2602,Dixon,19390
2603,Forest Park,19383
2604,Mamaroneck,19375
2605,Homewood,19373
2606,Bear,19371
2607,Bayou Cane,19355
2608,Orange,19347
2609,Alsip,19346
2610,Lutz,19344
2611,Green Haven,19326
2612,Lexington,19326
2613,Bellwood,19308
2614,Clayton,19304
2615,Central Falls,19303
2616,Sun Valley,19299
2617,Horizon City,19288
2618,Sherwood,19283
2619,Waterford,19281
2620,Orinda,19279
2621,Pinole,19269
2622,Woodbridge,19265
2623,Sun City Center,19258
2624,Altamont,19257
2625,Rosedale,19257
2626,Howard,19250
2627,Alamo,19246
2628,Upper Saint Clair,19229
2629,Broadview Heights,19229
2630,Haslett,19220
2631,West Elsdon,19219
2632,Newton,19216
2633,Glassboro,19216
2634,Altus,19214
2635,Blythe,19208
2636,Silverdale,19204
2637,Covington,19197
2638,Matteson,19195
2639,Tumwater,19190
2640,Old Jamestown,19184
2641,Weirton,19175
2642,White Oak,19167
2643,Carlisle,19143
2644,Mineola,19139
2645,Shelbyville,19133
2646,Tullahoma,19128
2647,Ozark,19120
2648,Secaucus,19104
2649,Jacksonville,19103
2650,Fairwood,19102
2651,Madison,19100
2652,Camp Springs,19096
2653,Ronkonkoma,19082
2654,Saco,19078
2655,Maple Shade,19077
2656,Hawthorne,19074
2657,East Massapequa,19069
2658,Fresno,19069
2659,Amherst Center,19065
2660,Montrose,19062
2661,Brownwood,19031
2662,Southbridge,19030
2663,Deerfield,19019
2664,Castaic,19015
2665,Ennis,19007
2666,Ellensburg,19001
2667,Claremore,18997
2668,Waukee,18990
2669,Jasmine Estates,18989
2670,Melville,18985
2671,Kew Gardens,18983
2672,Middleton,18979
2673,Bartow,18972
2674,Sylvania,18965
2675,Rio Rico,18962
2676,Murray,18954
2677,Arlington,18949
2678,North Druid Hills,18947
2679,North Bay Shore,18944
2680,Brookfield,18944
2681,Milledgeville,18931
2682,Stillwater,18924
2683,Cortland,18907
2684,Berea,18874
2685,Twinsburg,18872
2686,Wantagh,18871
2687,West Hempstead,18862
2688,Ansonia,18854
2689,Troy,18853
2690,Mayfield Heights,18840
2691,Laurel,18837
2692,Syosset,18829
2693,Brook Park,18809
2694,Union Hill-Novelty Hill,18805
2695,Erlanger,18797
2696,Rossville,18792
2697,South Burlington,18791
2698,Mount Greenwood,18783
2699,Casa de Oro-Mount Helix,18762
2700,Langley Park,18755
2701,Brigham City,18752
2702,Thomasville,18742
2703,Fairmont,18733
2704,Fairhope,18730
2705,Greater Upper Marlboro,18720
2706,Frederickson,18719
2707,Iselin,18695
2708,Whitehall,18694
2709,Suwanee,18694
2710,Rutherford,18690
2711,Islip,18689
2712,Forest Park,18676
2713,Westminster,18670
2714,Frankfort,18653
2715,Niles,18651
2716,Marshfield,18620
2717,Lorton,18610
2718,Morristown,18594
2719,Gautier,18570
2720,Bourbonnais,18569
2721,Goodings Grove,18569
2722,Macomb,18547
2723,Point Pleasant,18523
2724,Bellaire,18518
2725,El Reno,18516
2726,Chowchilla,18510
2727,Mead Valley,18510
2728,Hyattsville,18501
2729,Happy Valley,18493
2730,Augusta,18471
2731,Onalaska,18468
2732,Round Lake,18461
2733,Stafford,18459
2734,Yorkville,18451
2735,Winchester,18446
2736,North Ogden,18446
2737,Bensenville,18440
2738,Forney,18418
2739,Monsey,18412
2740,Fern Creek,18409
2741,Shenandoah,18399
2742,El Dorado,18386
2743,Trenton,18380
2744,Ashtabula,18371
2745,Natchitoches,18365
2746,Cudahy,18353
2747,Dover,18346
2748,Ottawa,18342
2749,Shafter,18336
2750,Amesbury,18313
2751,Meadowbrook,18312
2752,Franklin Park,18312
2753,McAlester,18310
2754,Punta Gorda Isles,18306
2755,Palestine,18288
2756,Sherrelwood,18287
2757,Creve Coeur,18276
2758,Ballenger Creek,18274
2759,Cinco Ranch,18274
2760,Helena,18264
2761,Palmer,18261
2762,Belle Glade,18251
2763,Makakilo,18248
2764,Franconia,18245
2765,Eastlake,18232
2766,Manchester,18229
2767,Cameron Park,18228
2768,Steubenville,18219
2769,Springboro,18213
2770,Wallingford Center,18209
2771,Lanham-Seabrook,18190
2772,Clark-Fulton,18185
2773,Farmington,18181
2774,Pampa,18177
2775,Somerset,18165
2776,Florida Ridge,18164
2777,Five Corners,18159
2778,Boone,18156
2779,Seminole,18153
2780,Rosamond,18150
2781,Punta Gorda,18150
2782,Cutler,18117
2783,Mattoon,18113
2784,Arroyo Grande,18108
2785,Monroe,18090
2786,Rancho Mirage,18083
2787,Limerick,18074
2788,Wilton,18062
2789,Huntington,18046
2790,Ojus,18036
2791,Santa Fe Springs,18026
2792,Vincennes,18012
2793,Amsterdam,18008
2794,Durango,18006
2795,Dumont,18001
2796,Hanahan,17997
2797,Central Point,17995
2798,Highland,17989
2799,Elizabeth City,17988
2800,Newburyport,17982
2801,Rockland,17982
2802,Westbrook,17978
2803,St. Marys,17968
2804,Cary,17965
2805,Lackawanna,17965
2806,Westerly,17936
2807,Maumelle,17931
2808,Leland,17924
2809,Wisconsin Rapids,17897
2810,Lenoir,17888
2811,North Massapequa,17886
2812,Scarsdale,17885
2813,Nanuet,17882
2814,Gretna,17880
2815,Sheridan,17873
2816,North Amityville,17862
2817,Arcata,17843
2818,Hannibal,17839
2819,Wahiawā,17821
2820,Colonial Heights,17820
2821,Marion,17803
2822,Colonia,17795
2823,Logansport,17793
2824,Oswego,17787
2825,Linda,17773
2826,Tinton Falls,17772
2827,Godfrey,17759
2828,Portsmouth,17756
2829,West Garfield Park,17742
2830,Willimantic,17737
2831,Calverton,17724
2832,Oxon Hill,17722
2833,Takoma Park,17713
2834,Wallingford,17712
2835,Sycamore,17712
2836,Cocoa,17711
2837,Martinsburg,17700
2838,Marco Island,17690
2839,Tiffin,17687
2840,Albert Lea,17674
2841,South Hadley,17652
2842,Shaw,17639
2843,Ocean Springs,17636
2844,Hinsdale,17628
2845,New Castle,17621
2846,Winthrop,17618
2847,Lindenwold,17613
2848,Kenwood,17601
2849,Bay City,17598
2850,Hopkins,17591
2851,Allendale,17579
2852,Menasha,17572
2853,Palos Hills,17565
2854,Prunedale,17560
2855,Culpeper,17557
2856,Stevenson Ranch,17557
2857,South Houston,17544
2858,Kirksville,17520
2859,Tallmadge,17512
2860,North Babylon,17509
2861,Mesquite,17496
2862,New Philadelphia,17484
2863,Saint Matthews,17472
2864,Maitland,17463
2865,North Aurora,17456
2866,Safety Harbor,17454
2867,North Canton,17441
2868,East Hemet,17418
2869,Radford,17403
2870,White Oak,17403
2871,Tillmans Corner,17398
2872,Detroit-Shoreway,17382
2873,Anoka,17350
2874,East Cleveland,17344
2875,Sudbury,17343
2876,Plainville,17328
2877,Middletown,17303
2878,Ada,17303
2879,Glassmanor,17295
2880,South Orange,17295
2881,Idylwood,17288
2882,Seabrook,17287
2883,Durant,17286
2884,Kings Park,17282
2885,Killingly Center,17282
2886,Canby,17271
2887,Poplar Bluff,17266
2888,Moraga,17256
2889,Redland,17242
2890,Massapequa Park,17232
2891,Kuna,17226
2892,Foley,17218
2893,Ruskin,17208
2894,Hermiston,17201
2895,Nederland,17196
2896,Greenfield,17184
2897,Ashwaubenon,17176
2898,Live Oak,17158
2899,Bristol,17141
2900,Okolona,17134
2901,Bayside,17132
2902,Wyckoff,17124
2903,Woodmere,17121
2904,Imperial,17095
2905,Huntington,17095
2906,Wayne,17081
2907,White Settlement,17077
2908,Eloy,17059
2909,Beckley,17056
2910,Broad Ripple,17041
2911,El Segundo,17037
2912,Holden,17016
2913,Avenel,17011
2914,East Setauket,17006
2915,Goodlettsville,16994
2916,Fayetteville,16990
2917,Colchester,16986
2918,Altoona,16984
2919,Terrell,16981
2920,Artesia,16961
2921,South Ogden,16955
2922,La Vista,16921
2923,Hanover,16906
2924,Tanque Verde,16901
2925,Glenvar Heights,16898
2926,Pendleton,16881
2927,Centerville,16877
2928,Sayville,16853
2929,Clarksdale,16847
2930,Norwalk,16827
2931,Fairview Heights,16827
2932,San Carlos Park,16824
2933,Concord,16810
2934,Springfield,16808
2935,New Milford,16801
2936,North Attleborough Center,16796
2937,Country Club Hills,16795
2938,Sartell,16788
2939,Lemont,16788
2940,Dyersburg,16781
2941,Defiance,16776
2942,Beltsville,16772
2943,Centralia,16753
2944,Chalmette,16751
2945,Shorewood,16747
2946,Ferndale,16746
2947,Mount Vernon,16742
2948,Westchester,16729
2949,Bluffton,16728
2950,Tifton,16725
2951,Auburn,16724
2952,Nipomo,16714
2953,Laurel,16713
2954,Taylor,16702
2955,North Decatur,16698
2956,Morganton,16692
2957,Danville,16690
2958,Denville,16669
2959,Barrington,16669
2960,Washington,16664
2961,Phoenixville,16658
2962,Mercedes,16657
2963,Center Point,16655
2964,Lemay,16645
2965,Wolcott,16639
2966,Norcross,16634
2967,Troutdale,16631
2968,Oak Grove,16629
2969,North Valley Stream,16628
2970,Easton,16617
2971,Easthampton,16611
2972,Bothell West,16607
2973,Tahlequah,16598
2974,Hazel Park,16597
2975,Douglas,16592
2976,Opelousas,16591
2977,Grafton,16583
2978,Sandalfoot Cove,16582
2979,Brenham,16579
2980,Opa-locka,16565
2981,Beaver Dam,16564
2982,Coalinga,16564
2983,Seymour,16562
2984,Cohoes,16538
2985,Jenison,16538
2986,Swansea,16525
2987,Donna,16523
2988,Vienna,16522
2989,Pinewood,16520
2990,Lansdale,16512
2991,Sevierville,16490
2992,Chickasha,16488
2993,Kingsland,16487
2994,Uvalde,16476
2995,Hillcrest Heights,16469
2996,Stuart,16462
2997,Fairhaven,16453
2998,Avon,16451
2999,Zachary,16448
3000,Red Wing,16445
3001,Sikeston,16436
3002,Bethpage,16429
3003,Concord,16421
3004,Flowing Wells,16419
3005,Bridgeview,16407
3006,Fairview Park,16407
3007,Laguna Woods,16406
3008,Anacortes,16403
3009,Mount Clemens,16400
3010,Cañon City,16400
3011,South River,16399
3012,Saint Michael,16399
3013,Fort Thomas,16398
3014,Sunset,16389
3015,Prospect Heights,16386
3016,Griffith,16378
3017,Estelle,16377
3018,Schofield Barracks,16370
3019,Bon Air,16366
3020,Oconomowoc,16360
3021,Hough,16359
3022,Vero Beach,16358
3023,Sunnyside,16325
3024,Lebanon,16324
3025,Bayshore Gardens,16323
3026,Streetsboro,16312
3027,Calhoun,16309
3028,Morton,16306
3029,Menomonie,16305
3030,Truckee,16299
3031,Fremont,16297
3032,Buckhall,16293
3033,Gainesville,16292
3034,Aberdeen,16276
3035,Baychester,16274
3036,Hopatcong Hills,16267
3037,Waterville,16261
3038,Oroville,16260
3039,Roosevelt,16258
3040,Laconia,16227
3041,Bellmore,16218
3042,Hibbing,16204
3043,Sudley,16203
3044,Dublin,16197
3045,Coos Bay,16182
3046,Hope Mills,16163
3047,Cimarron Hills,16161
3048,Katy,16158
3049,Brunswick,16157
3050,Clarksburg,16152
3051,Jollyville,16151
3052,Highland Village,16149
3053,Ocean Acres,16142
3054,Wolf Trap,16131
3055,Madison,16126
3056,Portland,16116
3057,Midway,16115
3058,Sulphur Springs,16098
3059,Maryland City,16093
3060,Siloam Springs,16081
3061,Ham Lake,16062
3062,West Columbia,16060
3063,Frankfort,16060
3064,Mount Pleasant,16051
3065,Dyer,16051
3066,Rye,16046
3067,Fort Hunt,16045
3068,Hermitage,16028
3069,Americus,16028
3070,Buffalo,16026
3071,Crawfordsville,16024
3072,Lake Mary,16021
3073,Republic,16005
3074,Albemarle,16003
3075,Cherry Hill,16000
3076,Country Walk,15997
3077,Riverdale,15989
3078,Abington,15985
3079,Floral Park,15969
3080,Prosper,15967
3081,Walnut Park,15966
3082,Pecan Grove,15963
3083,Overland,15959
3084,Grandville,15953
3085,Four Corners,15947
3086,Sunland Park,15940
3087,North Liberty,15931
3088,Burlington,15926
3089,Vincent,15922
3090,Vincent,15922
3091,Parole,15922
3092,Southchase,15921
3093,Ukiah,15917
3094,La Marque,15908
3095,North Arlington,15904
3096,La Palma,15904
3097,Seagoville,15894
3098,Lebanon,15892
3099,Clayton,15884
3100,Pearl River,15876
3101,Conyers,15875
3102,Myrtle Grove,15870
3103,Aldine,15869
3104,Narragansett,15868
3105,Kaukauna,15854
3106,Port Washington,15846
3107,New Port Richey,15842
3108,Aurora,15838
3109,Adams Morgan,15830
3110,Rutland,15824
3111,Asbury Park,15818
3112,Lutherville-Timonium,15814
3113,Ashland,15802
3114,Hybla Valley,15801
3115,Longmeadow,15784
3116,Elkton,15782
3117,Grosse Pointe Woods,15762
3118,Alton,15760
3119,Pinehurst,15752
3120,Groves,15750
3121,West University Place,15741
3122,Wilkinsburg,15731
3123,Manassas Park,15726
3124,Willow Grove,15726
3125,Gatesville,15724
3126,Avon Center,15724
3127,La Grange,15723
3128,Great Bend,15717
3129,Shively,15713
3130,Highland Springs,15711
3131,Hueytown,15710
3132,New Haven,15709
3133,Mill Creek East,15709
3134,Talladega,15709
3135,Middleburg Heights,15696
3136,Pacific Grove,15674
3137,Mitchell,15669
3138,Humble,15665
3139,Greenwood Village,15663
3140,Bryn Mawr-Skyway,15645
3141,Bradley,15617
3142,McKinley Park,15612
3143,Elkridge,15593
3144,Aberdeen,15580
3145,North Myrtle Beach,15579
3146,Williamstown,15567
3147,Long Beach,15555
3148,Otsego,15551
3149,Boulder City,15551
3150,Fillmore,15548
3151,Lake Wales,15541
3152,Alum Rock,15536
3153,Addison,15518
3154,East Riverdale,15509
3155,Laurinburg,15507
3156,Hernando,15503
3157,Hurricane,15501
3158,Plainfield,15498
3159,Hanover,15496
3160,Lithia Springs,15491
3161,Mastic,15481
3162,Farmingville,15481
3163,Setauket-East Setauket,15477
3164,Harrison,15474
3165,Martha Lake,15473
3166,Port Richmond,15470
3167,Indianola,15467
3168,Perry,15457
3169,Jasper,15451
3170,Winder,15447
3171,Clive,15447
3172,Clemson,15446
3173,Greenwood,15431
3174,Tavares,15430
3175,Great Falls,15427
3176,Jamestown,15422
3177,Terrace Heights,15421
3178,Emerson Hill,15412
3179,Avocado Heights,15411
3180,Eden,15403
3181,Bay Village,15402
3182,Lake Butler,15400
3183,Makakilo City,15383
3184,Westbury,15379
3185,Bostonia,15379
3186,Iona,15369
3187,Dickson,15359
3188,Newport,15354
3189,Cullman,15350
3190,Live Oak,15346
3191,Payson,15345
3192,Roanoke Rapids,15345
3193,Storrs,15344
3194,The Dalles,15340
3195,Los Lunas,15336
3196,Dixon,15319
3197,Bellevue,15317
3198,Sunland,15316
3199,Millbrook,15314
3200,Wailuku,15313
3201,Brownsville,15313
3202,Warren Township,15311
3203,Seaford,15294
3204,Washougal,15288
3205,Dallas,15277
3206,Graniteville,15272
3207,Henderson,15271
3208,Stallings,15270
3209,River Falls,15269
3210,Berkley,15268
3211,Damascus,15257
3212,Shelbyville,15253
3213,Susanville,15247
3214,Pataskala,15245
3215,Traverse City,15218
3216,South Yuba City,15217
3217,Ledyard,15212
3218,Merrifield,15212
3219,Fords,15187
3220,New Territory,15186
3221,Kapolei,15186
3222,Clearlake,15182
3223,McKinleyville,15177
3224,Brunswick,15175
3225,Highview,15167
3226,Kenmore,15160
3227,Belvedere Park,15152
3228,Ripon,15151
3229,Rossville,15147
3230,Depew,15146
3231,Seven Oaks,15144
3232,Wilmington Island,15138
3233,Gates-North Gates,15138
3234,Parlier,15138
3235,East Rancho Dominguez,15135
3236,Natchez,15128
3237,Cloverly,15126
3238,Newton,15125
3239,Lamont,15120
3240,East Brainerd,15114
3241,Vandalia,15106
3242,Rio Linda,15106
3243,East Longmeadow,15102
3244,Ramsey,15102
3245,West Park,15097
3246,Greeneville,15094
3247,Mount Vernon,15087
3248,Adelphi,15086
3249,Front Royal,15070
3250,Weston,15069
3251,Spanish Springs,15064
3252,Fort Leonard Wood,15061
3253,Sterling,15057
3254,Williamsburg,15052
3255,Somerton,15048
3256,Three Lakes,15047
3257,Auburndale,15035
3258,Gloversville,15023
3259,Hereford,15021
3260,Eggertsville,15019
3261,Batavia,15010
3262,Dumas,15001
3263,Bull Run,14983
3264,Ammon,14960
3265,‘Ewa Beach,14955
3266,New River,14952
3267,Kilgore,14947
3268,Fullerton,14925
3269,Knik-Fairview,14923
3270,Tonawanda,14907
3271,Hudson,14907
3272,Villa Rica,14904
3273,North New Hyde Park,14899
3274,Johnstown,14896
3275,Tolland,14891
3276,Canyon,14887
3277,Jacksonville,14884
3278,Berea,14882
3279,Tenafly,14880
3280,Marco,14879
3281,East San Gabriel,14874
3282,Jackson,14869
3283,Coto De Caza,14866
3284,Corinth,14866
3285,Englewood,14863
3286,Crowley,14853
3287,Saint John,14850
3288,Midlothian,14847
3289,Welby,14846
3290,Horsham,14842
3291,Mastic Beach,14841
3292,Mashpee,14834
3293,Powder Springs,14826
3294,Masonboro,14826
3295,Jennings,14819
3296,Head of Westport,14809
3297,Scottsbluff,14802
3298,Sierra Vista Southeast,14797
3299,East Highland Park,14796
3300,Glen Allen,14774
3301,Johnson City,14773
3302,Douglaston,14762
3303,Mineral Wells,14754
3304,Cherryland,14728
3305,Scottsboro,14722
3306,Ozark,14719
3307,Alexander City,14718
3308,Lady Lake,14717
3309,Niceville,14714
3310,West Norriton,14702
3311,Owosso,14699
3312,Blytheville,14694
3313,Ellington,14693
3314,Whitewater,14692
3315,Lebanon,14688
3316,North Fair Oaks,14687
3317,Hollins,14673
3318,Forrest City,14672
3319,Parkway,14670
3320,Colesville,14647
3321,Graham,14647
3322,Cinnaminson,14646
3323,Fraser,14636
3324,Chaparral,14631
3325,Clark,14628
3326,Norridge,14621
3327,Hammonton,14618
3328,Zephyrhills,14611
3329,College Park,14601
3330,Groveton,14598
3331,Bemidji,14594
3332,Hawaiian Gardens,14592
3333,Bloomsburg,14585
3334,Thibodaux,14584
3335,Valle Vista,14578
3336,Alamo,14570
3337,Druid Hills,14568
3338,Yankton,14557
3339,Beech Grove,14548
3340,Cedar Mill,14546
3341,Lake Saint Louis,14545
3342,Northview,14541
3343,Harrisburg,14539
3344,Warrington,14531
3345,Royal Kunia,14525
3346,Deming,14522
3347,Greece,14519
3348,Springdale,14518
3349,Phillipsburg,14515
3350,Hopatcong,14510
3351,Worthington,14498
3352,Whitman,14495
3353,Greensburg,14495
3354,Hartselle,14493
3355,Miami Springs,14490
3356,South Farmingdale,14486
3357,East Islip,14475
3358,Kerman,14475
3359,Warsaw,14472
3360,Glasgow,14470
3361,North Branford,14454
3362,Fairview,14451
3363,Springfield,14429
3364,Chubbuck,14428
3365,Scott Lake,14425
3366,Robbinsdale,14418
3367,Franklin Park,14415
3368,Lindenhurst,14408
3369,Bridgetown,14407
3370,Callaway,14405
3371,Rio Grande City,14404
3372,Pineville,14403
3373,Cahokia,14402
3374,Sarasota Springs,14395
3375,Mill Valley,14394
3376,Hugo,14388
3377,Moultrie,14377
3378,Chicago Ridge,14373
3379,Brooklyn Park,14373
3380,Cutlerville,14370
3381,Morris,14363
3382,Hartford,14355
3383,Brookside,14353
3384,Highland Park,14347
3385,Beacon,14347
3386,Woodcrest,14347
3387,Greendale,14333
3388,Antioch,14329
3389,Hunters Creek,14321
3390,Carthage,14319
3391,Manorville,14314
3392,Phelan,14304
3393,Glasgow,14303
3394,Berea,14295
3395,Glens Falls,14291
3396,Los Osos,14276
3397,New Franklin,14275
3398,Hershey,14257
3399,Knightdale,14256
3400,Hewitt,14252
3401,Alpine,14236
3402,Gibsonton,14234
3403,Gantt,14229
3404,Moorestown-Lenola,14217
3405,Lakeway,14217
3406,Murraysville,14215
3407,Canton,14211
3408,Bradley Gardens,14206
3409,Elk Plain,14205
3410,Camano,14202
3411,Berkeley Heights,14179
3412,Mount Holly,14176
3413,Cherry Hill Mall,14171
3414,Oldsmar,14170
3415,Fort Payne,14150
3416,Wykagyl,14146
3417,Jefferson Valley-Yorktown,14142
3418,Five Forks,14140
3419,Hayden,14133
3420,Red Bluff,14131
3421,New Fairfield,14126
3422,Forest Park,14123
3423,Hickory Hills,14122
3424,Arverne,14120
3425,Hyannis,14120
3426,Hazel Crest,14118
3427,Whitefish Bay,14110
3428,Sterling,14104
3429,Weehawken,14104
3430,North Reading,14101
3431,Indiana,14100
3432,Fish Hawk,14087
3433,Longwood,14085
3434,Jasper,14071
3435,Reidsville,14067
3436,Dentsville,14062
3437,Northbridge,14061
3438,New Cassel,14059
3439,Rosedale,14058
3440,Apollo Beach,14055
3441,Waycross,14053
3442,Washington,14050
3443,Chippewa Falls,14047
3444,Westwood,14029
3445,Mount Washington,14028
3446,East Bridgewater,14021
3447,Washington Court House,14019
3448,Hālawa,14014
3449,Rocky Point,14014
3450,Holliston,14010
3451,Pierre,14002
3452,Collingswood,14000
3453,Horizon West,14000
3454,Elfers,13986
3455,McFarland,13985
3456,Beach Park,13976
3457,Sun Lakes,13975
3458,Fairburn,13967
3459,Lincoln,13966
3460,Seekonk,13966
3461,Upper Grand Lagoon,13963
3462,Willowick,13957
3463,Orange,13956
3464,Auburn,13953
3465,South Venice,13949
3466,Maumee,13940
3467,Middlesex,13934
3468,Allouez,13930
3469,Paradise Valley,13922
3470,Moberly,13919
3471,Wood Dale,13917
3472,Covington,13916
3473,Saint Simon Mills,13915
3474,Levelland,13914
3475,Hutchinson,13913
3476,Saraland,13906
3477,King City,13902
3478,Livingston,13902
3479,Marietta,13900
3480,Falls Church,13892
3481,Metuchen,13886
3482,Olean,13870
3483,Oneonta,13862
3484,Ephrata,13861
3485,Circleville,13857
3486,Forest City,13854
3487,Harper Woods,13836
3488,Whitehall,13834
3489,Princeton Meadows,13834
3490,Sault Ste. Marie,13827
3491,Andrews,13816
3492,Wauconda,13814
3493,Hendersonville,13814
3494,Fort Carson,13813
3495,Oak Park,13811
3496,Stanford,13809
3497,Pottsville,13802
3498,Homosassa Springs,13791
3499,Ladson,13790
3500,Swampscott,13787
3501,Sharonville,13774
3502,Elizabethton,13772
3503,Clarksburg,13766
3504,McMinnville,13759
3505,Cromwell,13750
3506,Buford,13748
3507,Wixom,13746
3508,West Richland,13746
3509,Greenlawn,13742
3510,Stony Brook,13740
3511,Mountain Home,13730
3512,Waimalu,13730
3513,Carpinteria,13727
3514,Salida,13722
3515,Sienna Plantation,13721
3516,Seabrook,13716
3517,Gardendale,13711
3518,Hidalgo,13709
3519,Muscle Shoals,13706
3520,Buda,13705
3521,Mebane,13698
3522,Richton Park,13695
3523,Baker,13695
3524,Lyndhurst,13691
3525,Athens,13688
3526,Fort Campbell North,13685
3527,East Greenwich,13682
3528,Palos Verdes Estates,13682
3529,Canton,13676
3530,Boerne,13674
3531,Roselle Park,13670
3532,Fort Mill,13662
3533,East Wenatchee,13659
3534,Olivehurst,13656
3535,Bexley,13654
3536,Moss Point,13654
3537,Marshall,13652
3538,Pell City,13646
3539,Martinsville,13645
3540,Monroe,13641
